time_ns,T_hev_z1.0mm,flux_raw_z1.0mm,flux_norm_z1.0mm,T_hev_z1.2mm,flux_raw_z1.2mm,flux_norm_z1.2mm
0.01,0.0,0.0,0.0,0.0,0.0,0.0
0.013993993993993994,0.0,0.0,0.0,0.0,0.0,0.0
0.017987987987987987,0.0,0.0,0.0,0.0,0.0,0.0
0.021981981981981983,0.0,0.0,0.0,0.0,0.0,0.0
0.02597597597597598,0.0,0.0,0.0,0.0,0.0,0.0
0.02996996996996997,0.0,0.0,0.0,0.0,0.0,0.0
0.033963963963963964,0.0,0.0,0.0,0.0,0.0,0.0
0.03795795795795796,0.0,0.0,0.0,0.0,0.0,0.0
0.041951951951951956,0.0,0.0,0.0,0.0,0.0,0.0
0.04594594594594595,0.0,0.0,0.0,0.0,0.0,0.0
0.04993993993993994,0.0,0.0,0.0,0.0,0.0,0.0
0.05393393393393394,0.0,0.0,0.0,0.0,0.0,0.0
0.05792792792792793,0.0,0.0,0.0,0.0,0.0,0.0
0.061921921921921926,0.0,0.0,0.0,0.0,0.0,0.0
0.06591591591591592,0.0,0.0,0.0,0.0,0.0,0.0
0.06990990990990992,0.0,0.0,0.0,0.0,0.0,0.0
0.0739039039039039,0.0,0.0,0.0,0.0,0.0,0.0
0.0778978978978979,0.0,0.0,0.0,0.0,0.0,0.0
0.08189189189189189,0.0,0.0,0.0,0.0,0.0,0.0
0.08588588588588589,0.0,0.0,0.0,0.0,0.0,0.0
0.08987987987987987,0.0,0.0,0.0,0.0,0.0,0.0
0.09387387387387387,0.0,0.0,0.0,0.0,0.0,0.0
0.09786786786786787,0.0,0.0,0.0,0.0,0.0,0.0
0.10186186186186186,0.0,0.0,0.0,0.0,0.0,0.0
0.10585585585585586,0.0,0.0,0.0,0.0,0.0,0.0
0.10984984984984986,0.0,0.0,0.0,0.0,0.0,0.0
0.11384384384384384,0.0,0.0,0.0,0.0,0.0,0.0
0.11783783783783784,0.0,0.0,0.0,0.0,0.0,0.0
0.12183183183183184,0.0,0.0,0.0,0.0,0.0,0.0
0.12582582582582583,0.0,0.0,0.0,0.0,0.0,0.0
0.12981981981981983,0.0,0.0,0.0,0.0,0.0,0.0
0.13381381381381383,0.0,0.0,0.0,0.0,0.0,0.0
0.13780780780780783,0.0,0.0,0.0,0.0,0.0,0.0
0.14180180180180182,0.0,0.0,0.0,0.0,0.0,0.0
0.14579579579579582,0.0,0.0,0.0,0.0,0.0,0.0
0.1497897897897898,0.0,0.0,0.0,0.0,0.0,0.0
0.1537837837837838,0.0,0.0,0.0,0.0,0.0,0.0
0.1577777777777778,0.0,0.0,0.0,0.0,0.0,0.0
0.1617717717717718,0.0,0.0,0.0,0.0,0.0,0.0
